Report Number,Occurred Date,Occurred Time,Reported Date,Reported Time,Crime Subcategory,Primary Offense Description,Precinct,Sector,Beat,Neighborhood,Zip.Code
2.018E+13,4/7/18,2145,4/8/18,1335,CAR PROWL,THEFT-CARPROWL,EAST,G,G2,FIRST HILL,98122
2.018E+12,3/13/18,1143,3/13/18,1143,NARCOTIC,NARC-POSSESS-HEROIN,EAST,E,E3,FIRST HILL,98122
2.018E+13,4/4/18,1600,4/10/18,1353,CAR PROWL,THEFT-CARPROWL,EAST,G,G1,FIRST HILL,98122
2.018E+13,4/12/18,930,4/12/18,1510,THEFT-ALL OTHER,THEFT-OTH,EAST,G,G1,FIRST HILL,98122
2.018E+13,4/12/18,1755,4/12/18,1810,THEFT-ALL OTHER,THEFT-OTH,EAST,G,G1,FIRST HILL,98122
2.018E+13,4/17/18,1800,4/17/18,2308,THEFT-BUILDING,THEFT-BUILDING,EAST,E,E2,FIRST HILL,98122
2.018E+13,4/20/18,2200,4/21/18,910,CAR PROWL,THEFT-CARPROWL,EAST,E,E2,FIRST HILL,98122
2.018E+13,4/11/18,1630,4/24/18,1641,CAR PROWL,THEFT-CARPROWL,EAST,G,G1,FIRST HILL,98122
2.018E+13,4/16/18,1827,4/26/18,1347,THEFT-ALL OTHER,THEFT-OTH,EAST,E,E3,FIRST HILL,98122
2.018E+13,4/27/18,2200,4/28/18,1211,CAR PROWL,THEFT-CARPROWL,EAST,E,E2,FIRST HILL,98122
2.018E+13,4/29/18,1525,4/29/18,1552,CAR PROWL,THEFT-CARPROWL,EAST,G,G2,FIRST HILL,98122
2.018E+13,4/29/18,1310,4/30/18,39,CAR PROWL,THEFT-CARPROWL,EAST,E,E3,FIRST HILL,98122
2.018E+13,4/26/18,1030,4/30/18,1835,THEFT-ALL OTHER,THEFT-OTH,EAST,E,E3,FIRST HILL,98122
2.018E+13,5/4/18,850,5/5/18,838,CAR PROWL,THEFT-CARPROWL,EAST,E,E3,FIRST HILL,98122
2.018E+13,5/6/18,130,5/6/18,1040,CAR PROWL,THEFT-CARPROWL,EAST,E,E2,FIRST HILL,98122
2.018E+13,4/26/18,2000,5/10/18,1103,THEFT-ALL OTHER,THEFT-OTH,EAST,G,G1,FIRST HILL,98122
2.018E+13,5/11/18,1030,5/13/18,1247,THEFT-ALL OTHER,THEFT-OTH,EAST,E,E2,FIRST HILL,98122
2.018E+13,12/10/17,800,5/15/18,1549,THEFT-BUILDING,THEFT-BUILDING,EAST,E,E3,FIRST HILL,98122
2.018E+13,5/4/18,1515,5/16/18,1120,THEFT-BUILDING,THEFT-BUILDING,EAST,E,E3,FIRST HILL,98122
2.018E+13,5/16/18,1710,5/16/18,2026,THEFT-ALL OTHER,THEFT-OTH,EAST,E,E3,FIRST HILL,98122
2.018E+13,5/7/18,1200,5/17/18,1309,THEFT-BUILDING,THEFT-BUILDING,EAST,E,E2,FIRST HILL,98122
2.018E+13,5/13/18,945,5/20/18,1152,THEFT-BUILDING,THEFT-BUILDING,EAST,E,E3,FIRST HILL,98122
2.018E+13,4/28/18,1845,5/24/18,1241,CAR PROWL,THEFT-CARPROWL,EAST,G,G1,FIRST HILL,98122
2.018E+13,5/29/18,1150,5/30/18,926,CAR PROWL,THEFT-CARPROWL,EAST,E,E2,FIRST HILL,98122
2.018E+13,5/31/18,1700,5/31/18,2340,CAR PROWL,THEFT-CARPROWL,EAST,E,E3,FIRST HILL,98122
2.018E+13,5/23/18,1150,6/1/18,1156,THEFT-BUILDING,THEFT-BUILDING,EAST,G,G1,FIRST HILL,98122
2.018E+13,5/31/18,830,6/5/18,841,CAR PROWL,THEFT-CARPROWL,EAST,E,E3,FIRST HILL,98122
2.018E+13,6/5/18,1900,6/7/18,1241,THEFT-ALL OTHER,THEFT-OTH,EAST,E,E3,FIRST HILL,98122
2.018E+13,6/8/18,1225,6/8/18,1237,CAR PROWL,THEFT-CARPROWL,EAST,E,E3,FIRST HILL,98122
2.018E+13,6/11/18,1900,6/13/18,1451,CAR PROWL,THEFT-CARPROWL,EAST,E,E3,FIRST HILL,98122
2.018E+13,6/13/18,1500,6/14/18,1556,THEFT-ALL OTHER,THEFT-OTH,EAST,G,G1,FIRST HILL,98122
2.018E+13,6/15/18,1830,6/17/18,1219,CAR PROWL,THEFT-CARPROWL,EAST,E,E3,FIRST HILL,98122
2.018E+13,6/17/18,2130,6/18/18,1342,THEFT-ALL OTHER,THEFT-OTH,EAST,E,E3,FIRST HILL,98122
2.018E+13,6/19/18,1200,6/20/18,1011,THEFT-ALL OTHER,THEFT-OTH,EAST,G,G2,FIRST HILL,98122
